Region,Text,Standard_Bangla
Noakhali,মুউরী নদীরেঅ এরুম কলকলাইতে দেইনঅ,মুড়ি নদীকেও এমনভাবে বইতে দেখিনি।
Noakhali,হোলা মাইয়্যা খানার কতাই ভুলি গেছে !,মেয়েটি সবকিছু ভুলে গেছে।
Noakhali,"কৈজ্জ্যা, খোঁডাখুঁডি আরঅ কতকিচু","ঝগড়া, খোঁজাখুঁজি এবং আরও অনেক কিছু।"
Noakhali,"কাত্তুন কন সুন্দর, কন মোডা, কন চিয়ন","কেউ বলে সুন্দর, কেউ বলে মোটা, কেউ বলে চিকন।"
Noakhali,বোদ্দিন ধরি ঘরে কিচ্চু নাই,অনেক দিন ধরে ঘরে কিছু নেই।
Noakhali,কারঅর মুয়ে আঁসি নাই,কারও মুখে হাসি নেই।
Noakhali,"হোলা মাইয়্যায় কঅয়-- 'বাবা, হটঅ তুলইন্যা এগুন আর আইতো ন ?'","মেয়েটি বলল, বাবা, এগুলো কি আর আগের মতো আসে না?"
Noakhali,হেগুনের মায় কয়,তার মা বললেন।
Noakhali,"বাবুরে, হেগুনের হটঅ তুলইন্যা যন্ত্র ইয়েন নষ্ট অইগেছে","বাবা, পুরনো জিনিস তোলার যন্ত্রটি যেন নষ্ট হয়ে গেছে।"
Noakhali,হত্রিকাত্তুন হটঅ ইয়েন কাডি লই গুছাই রাইখছিল কোনগায় জানি,হারিকেন থেকে জিনিসগুলো খুলে কোথায় যে গুছিয়ে রেখেছিলাম জানি না।
Noakhali,মন খারাপ অইলে টাঙ্কেত্তুন বাইর করি অত্তরে বোই চায় আর কান্দে,মন খারাপ হলে বের হয়ে বসে থাকে আর কাঁদে।
Noakhali,কাইন্তে কাইন্তে কাইল অইগেলে,কাঁদতে কাঁদতে কাল হয়ে গেল।
Noakhali,কোন সমে ঘুম আইয়ে কইতো হারে না কোনোগায়,কখন যে ঘুম আসে বোঝা যায় না।
Noakhali,হত্রিকার টুকরা আরঁ খান ঘরের বেড়ার ভাঙ্গা জাগাত লাগাইছিলাম আঁই,হারিকেনের একটি অংশ ঘরের ভাঙা বেড়ায় লাগিয়েছিলাম।
Noakhali,"হটঅর জাগা দি বাইরে দেয়া যায়, বোদ্দূর",পুরনো জিনিসের জায়গা বাইরে দেওয়া যায় না।
Noakhali,ব্যেকগ্গুন ঘুমাই গেলে একলা রেনি থাই,সবাই ঘুমিয়ে গেলে একা থাকি।
Noakhali,দেই-- হোলা মাইয়্যার মুয়ের মত হানসা ব্যেক,"দেখি, মেয়েটির মুখের মতো হাসিমাখা চেহারা।"
Noakhali,আর কদিন এন্নে চইলবো ?,আর কতদিন এভাবে চলবে?
Noakhali,"ও বাবু, আর কদিন !","ও বাবু, আর কতদিন!"
Noakhali,আর কদিন এন্নে চইলবো ?,আর কতদিন এভাবে চলবে?
Noakhali,কতা কঅন বাবু,কথা বলুন বাবু।
Barishal,ও বাবু... আর কদিন এন্নে চইলবো ?,"ও বাবু, আর কতদিন এভাবে চলবে?"
Barishal,Barishal Dialect Sentence,Standard Bangla
Barishal,"ওগো হরানের স্বামী, আন্নে ভালা আছেন্নি?","ও হরানের স্বামী, আপনি ভালো আছেন?"
Barishal,আন্নে ভালা আছেন্নি?,আপনি ভালো আছেন?
Barishal,ওহ গেদু তুই কম্বে গেলি?,"ও গেদু, তুমি কোথায় গেলে?"
Barishal,তড়াতড়ি আয় তোর নানা আইছে,"তাড়াতাড়ি এসো, তোমার নানা এসেছেন।"
Barishal,"সালুন নিয়া, ভাত খাতি বুলায়",তরকারি নিয়ে ভাত খেতে ডাকছে।
Barishal,মুড়া-মুড়কি কিনি আনছে,মুড়ি-মুড়কি কিনে এনেছে।
Barishal,আরো কিনি আনছে আম,আরও কিছু আম কিনে এনেছে।
Barishal,কতফড় এউক্কা কাডল আনছে,অনেক বড় একটি কাঁঠাল এনেছে।
Barishal,হত্তুর টাহা দাম,খুব বেশি টাকা দাম।
Barishal,আরো জানি কি কি আনছে,আরও কী কী এনেছে কে জানে।
Barishal,তুই দেখি যা আয়,তুমি গিয়ে দেখে এসো।
Barishal,কাইল বিয়ানে দেওরের লেইক্কা কাডবি রেন্টি গাছ,কাল সকালে দেওরের জন্য একটি রেড়ি গাছ কাটবে।
Barishal,কাডবি রেন্টি গাছ,রেড়ি গাছ কাটবে।
Barishal,পুহুত্তুনে ধরবি এউক্কা,ভোরবেলা একটি ধরবে।
Barishal,ডাংগর কাতল মাছ,বড় কাতল মাছ।
Barishal,বুড়া মানু গুস্ত খা না,বয়স্ক মানুষ মাংস খায় না।
Barishal,মাছ খাতি মুলায়,মাছ খেতে ভালো লাগে।
Barishal,ওহ গেদু তুই,"ও গেদু, তুমি।"
Barishal,অফনেরা বোজ্জেন ??,আপনারা বুঝছেন?
Barishal,এইডা কোনো পচা গপ্পো না,এটা কোনো বানানো গল্প নয়।
Barishal,মোর বাসায় আফনেগো ব্যাবাক্কের কোলোম পান্তা ইলিশ খাওয়ার দাওয়াত,আমার বাসায় আপনাদের সবাইকে পান্তা-ইলিশ খাওয়ার দাওয়াত।
Barishal,মুই হারা বচ্ছোরই পান্তা ইলিশ খাই,আমি প্রতি বছর পান্তা-ইলিশ খাই।
Barishal,পান্তা ইলিশ খাইতে কি পহেলা বৈশাখ লাগে নাহি,পান্তা-ইলিশ খেতে পহেলা বৈশাখের দরকার নেই।
Barishal,কোলায় গোইন্দ্যা আল চোইয়া,কলাগাছের পাশে আলু বেছে।
Barishal,এইত্তারা আইছি বারি,এতক্ষণে বাড়ি এসেছি।
Barishal,বুড়াহালে এ্যাতো কি আর,বুড়ো বয়সে এত কী আর।
Barishal,কাম হরতে মুই পারি,কাজ করতে আমি পারি।
Barishal,ভিজাইন্ন্যা সুবারি দিয়া,ভিজিয়ে সুপারি দিয়ে।
Rangpur,লইয়াও একখান পানও,সঙ্গে একটি পানও।
Rangpur,আম্বিয়ার মা কোউররা ত্যালের শিশিডারে আনো,"আম্বিয়ার মা, নারকেল তেলের শিশিটি আনো।"
Rangpur,Rangpur Dialect Sentence,Standard Bangla
Rangpur,দরজার পুহিরে আইছি,দরজার বাইরে এসে দাঁড়িয়েছি।
Rangpur,মুই মোর ভাষা নিয়ে খুশি,আমি আমার ভাষা নিয়ে খুশি।
Rangpur,এতে কার কি হইল,এতে কার কী হলো?
Rangpur,তাতে মোর কিছু নোহায়,তাতে আমার কিছু যায় আসে না।
Rangpur,মুই মোর মতন করি কথা কইম,আমি আমার মতো করে কথা বলব।
Rangpur,এংকরি কথা কইলে মোক ভালো লাগে,এভাবে কথা বললে আমার ভালো লাগে।
Rangpur,মুই যেউংকরি কইম,আমি যেভাবে বলি।
Rangpur,বুজলে কইস না বুজলেও কইস,"বুঝলে বলো, না বুঝলেও বলো।"
Rangpur,বুজি দেইম আলা,বুঝিয়ে দেব তাহলে।
Rangpur,বাড়ি মোর অংপুর,আমার বাড়ি রংপুরে।
Rangpur,মুই জানিম না,আমি জানি না।
Rangpur,এইটা কোনো কথা কলু,এটা কি কোনো কথা হলো?
Rangpur,এই চেংরি তো পুরায় ফাটে দিছে ভাইয়ো!!,এই মেয়েটি তো একেবারে সবাইকে অবাক করে দিয়েছে ভাই!
Rangpur,কি শুননু এইল্লা,এটা আমি কী শুনলাম!
Rangpur,ক্যামোন আচেন বাহেরা?,কেমন আছেন ভাইয়েরা?
Rangpur,ক্যামোন আচেন বাহেরা? রমজান তো শুরু হয়া গ্যালো!,কেমন আছেন ভাইয়েরা? রমজান তো শুরু হয়ে গেছে!
Rangpur,তোমরাগুলো তৈয়ার হৈছেন তো?,তোমরা প্রস্তুত হয়েছ তো?
Rangpur,এলাও হই নাই ক্যাবল শুরু করচি,"এখনও হয়নি, মাত্র শুরু করেছি।"
Rangpur,ক্যামন আচেন বাহেরা? দিনকাল ক্যামন জায়চোল?,কেমন আছেন ভাইয়েরা? দিনকাল কেমন যাচ্ছে?
Rangpur,দিনকাল ক্যামন জায়চোল?,দিনকাল কেমন যাচ্ছে?
Rangpur,মোর তো ভোক নাগছে সাত সকালে!,আমার তো সকাল সকাল ক্ষুধা লেগেছে!
Rangpur,ঝড়ি ক্যামন পড়েচোল বাহেরা!,"ভাইয়েরা, কী বৃষ্টি হচ্ছে!"
Rangpur,জার নাগেচোল যে মোক!,আমার তো জ্বর লেগেছে!
Rangpur,জারতো মোকো নাগেচোল বাহে,"ভাই, আমারও জ্বর লেগেছে।"
Rangpur,অনেক দিন থাকি এঁটে কিছু নেকায় হওছে না,অনেক দিন ধরে এখানে কিছুই হচ্ছে না।
Rangpur,"রংপুরত এতগুলা মেডিকেল কলেজ, ঢাকা ছাড়া আর কোনোটে নাই","রংপুরে এতগুলো মেডিকেল কলেজ আছে, ঢাকা ছাড়া আর কোথাও নেই।"
Rangpur,"রংপুর, কমুউনিটি, প্রাইম, নর্দার্ন, কসির উদ্দিন, রংপুর সরকারী ডেন্টাল, রংপুর বেসরকারী ডেন্টাল। সউগ মিলিয়া ৭ টা।","রংপুর, কমিউনিটি, প্রাইম, নর্দার্ন, কসির উদ্দিন, রংপুর সরকারি ডেন্টাল ও রংপুর বেসরকারি ডেন্টাল—সব মিলিয়ে ৭টি।"
